"id","gene_id","synonym"
"348","13658","HIP9"
"349","13658","HYPJ"
"350","2109","ADTB1"
"351","2109","AP105A"
"352","2109","BAM22"
"353","2109","CLAPB2"
"354","2109","KIDAR"
"355","10969","ADTG"
"356","10969","CLAPG1"
"357","3135","ACLP"
"358","2833","AES"
"359","2833","AES-1"
"360","2833","AES-2"
"361","2833","ESP1"
"362","2833","GRG"
"363","2833","GRG5"
"364","2833","Grg-5"
"365","5216","AEGL1"
"366","5216","ARP"
"367","5216","CRISP-1"
"368","5216","HEL-S-57"
"369","5216","HSCRISP1D"
"370","5216","HSCRISP1G"
"371","5216","HUMARP"
"372","16163","AFG3"
"373","16163","AFG3L1"
"374","1394","ALB2"
"375","1394","ALBA"
"376","1394","ALF"
"377","1441","AFPD"
"378","1441","FETA"
"379","1441","HPAFP"
"380","517","AGU"
"381","517","ASRG"
"382","517","GA"
"383","9357","AGC1"
"384","9357","AGCAN"
"385","9357","CSPG1"
"386","9357","CSPGCP"
"387","9357","MSK16"
"388","9357","SEDK"
"389","9357","SSOAOD"
"390","15480","RAGE"
"391","15480","SCARJ1"
"392","9948","GDE"
"393","9584","AGRT"
"394","9584","ART"
"395","9584","ASIP2"
"396","2368","AGS"
"397","2368","AGS1"
"398","2368","AHD"
"399","2368","AWS"
"400","2368","CD339"
"401","2368","DCHE"
"402","2368","HJ1"
"403","2368","JAGL1"
"404","6627","ANHU"
"405","6627","SERPINA8"
"406","6627","hFLT1"
"407","8006","AG2S"
"408","8006","AGTR1B"
"409","8006","AT1"
"410","8006","AT1AR"
"411","8006","AT1B"
"412","8006","AT1BR"
"413","8006","AT1R"
"414","8006","AT2R1"
"415","8006","HAT1R"
"416","13357","AT2"
"417","13357","ATGR2"
"418","13357","MRX88"
"419","6468","AGTRL1"
"420","6468","APJ"
"421","6468","APJR"
"422","6468","HG11"
"423","12161","AGT"
"424","12161","AGT1"
"425","12161","AGXT1"
"426","12161","PH1"
"427","12161","SPAT"
"428","12161","SPT"
"429","12161","TLH6"
"430","11537","AHC"
"431","11537","AHCH"
"432","11537","AHX"
"433","11537","DAX-1"
"434","11537","DAX1"
"435","11537","DSS"
"436","11537","GTD"
"437","11537","HHG"
"438","11537","NROB1"
"439","11537","SRXY2"
"440","8027","A2HS"
"441","8027","AHS"
"442","8027","APMR1"
"443","8027","FETUA"
"444","8027","HSGA"
"445","15519","AIF-1"
"446","15519","IBA1"
"447","15519","IRT-1"
"448","15519","IRT1"
"449","3776","AIM1"
"450","3776","ST4"
"451","3172","HTL-S-58j"
"452","47","ADK2"
"453","9887","AK 4"
"454","9887","AK3"
"455","9887","AK3L1"
"456","9887","AK3L2"
"457","7619","AKT"
"458","7619","CWS6"
"459","7619","PKB"
"460","7619","PKB-ALPHA"
"461","7619","PRKBA"
"462","7619","RAC"
"463","7619","RAC-ALPHA"
"464","2872","HIHGHH"
"465","2872","PKBB"
"466","2872","PKBBETA"
"467","2872","PRKBB"
"468","2872","RAC-BETA"
"469","8384","ALADH"
"470","8384","PBGS"
"471","408","ALAS"
"472","408","ALAS-H"
"473","408","ALAS3"
"474","408","ALASH"
"475","408","MIG4"
"476","9452","ALAS-E"
"477","9452","ALASE"
"478","9452","ANH1"
"479","9452","ASB"
"480","9452","SIDBA1"
"481","9452","XLDPP"
"482","9452","XLEPP"
"483","9452","XLSA"
"484","10200","HSA"
"485","10200","PRO0883"
"486","10200","PRO0903"
"487","10200","PRO1341"
"488","11669","CD166"
"489","11669","MEMD"
"490","2453","ABC42"
"491","2453","ALD"
"492","2453","ALDP"
"493","2453","AMN"
"494","10607","ALDC"
"495","10607","ALDH-E1"
"496","10607","ALDH1"
"497","10607","ALDH11"
"498","10607","HEL-9"
"499","10607","HEL-S-53e"
"500","10607","HEL12"
"501","10607","PUMB1"
"502","10607","RALDH1"
"503","3624","ALDH-E2"
"504","3624","ALDHI"
"505","3624","ALDM"
"506","3336","ALDH3"
"507","3336","ALDHIII"
"508","6878","ALDH5"
"509","6878","ALDHX"
"510","13863","ALDH1A6"
"511","13863","ALDH6"
"512","13863","MCOP8"
"513","13863","RALDH3"
"514","134","ALDH4"
"515","134","ALDH7"
"516","6176","ALDH8"
"517","7719","ALDH4"
"518","7719","ALDH7"
"519","7719","ALDH9"
"520","7719","E3"
"521","7719","TMABA-DH"
"522","7719","TMABADH"
"523","7719","TMABALDH"
"524","1124","ALDH10"
"525","1124","FALDH"
"526","1124","SLS"
"527","12272","ABC39"
"528","12272","ALDL1"
"529","12272","ALDR"
"530","12272","ALDRP"
"531","12272","hALDR"
"532","6825","ALDB"
"533","6825","ALDO2"
"534","1575","ADR"
"535","1575","ALDR1"
"536","1575","ALR2"
"537","1575","AR"
"538","11873","CD246"
"539","11873","NBLST3"
"540","3368","12-LOX"
"541","3368","12S-LOX"
"542","3368","LOG12"
"543","308","5-LO"
"544","308","5-LOX"
"545","308","5LPG"
"546","308","LOG5"
"547","6213","FLAP"
"548","13195","12R-LOX"
"549","13195","ARCI2"
"550","18910","ALOX12E"
"551","9817","12-LOX"
"552","9817","15-LOX"
"553","9817","15-LOX-1"
"554","9817","LOG15"
"555","13207","15-LOX-2"
"556","10095","IAP"
"557","9911","AP-TNAP"
"558","9911","APTNAP"
"559","9911","HOPS"
"560","9911","TNALP"
"561","9911","TNAP"
"562","9911","TNSALP"
"563","10089","ALP"
"564","10089","ALPI"
"565","10089","IAP"
"566","10089","PALP"
"567","10089","PLAP"
"568","10089","PLAP-1"
"569","10091","ALPPL"
"570","10091","ALPPL2"
"571","10091","GCAP"
"572","9186","FND"
"573","9186","FND1"
"574","13042","AI1F"
"575","3167","A1M"
"576","3167","EDC1"
"577","3167","HCP"
"578","3167","HI30"
